T[K],RRR20,RRR30,RRR40,RRR60,RRR80,RRR100,RRR300
3.0,93.98406205027003,144.47320639009925,194.5843808485786,283.7741999824396,385.1306299690125,472.876579378894,1505.4159688119116
3.9933110367892977,122.13539292732051,186.2819390642673,250.40072247565445,376.54853361591597,508.6298335571622,633.541241851523,1920.0562505063758
4.986622073578595,152.4535031151547,232.62878592370646,312.20235710637684,472.21378823603936,632.9476438008704,788.7246135492711,2371.792832252095
5.979933110367893,181.23511620422894,278.1523080777809,373.02057925349067,564.0519930262011,758.9998781089781,945.9752997751689,2830.530384527884
6.973244147157191,211.15831925301308,326.15398305995984,435.4112187141461,656.4139550117786,881.5119789561137,1098.3673414669004,3259.9821619912136
7.966555183946488,241.55935887031075,370.72282724024404,496.1666000986736,749.3036655548501,1008.6164256838364,1247.0839086897195,3629.545816103032
8.959866220735787,271.20341276717966,414.61743576476766,558.0710113552984,835.0890934302151,1126.0638961856182,1400.158778231317,4082.949115671761
9.953177257525084,299.05176768073324,461.45500041689985,613.3552796227011,925.2072860469514,1237.3159266256903,1541.34983476006,4409.729207590875
10.946488294314381,330.56986945405106,507.0219485034639,677.4838726287355,1013.0579073109658,1350.46414366742,1670.047949878691,4671.98400854554
11.939799331103679,359.4828038716572,549.8309051044358,733.3436251787892,1096.0817533752436,1459.430346990725,1786.6790944157297,4888.063968317911
12.933110367892976,387.6565352780459,591.1218021507271,788.1760153356809,1174.787637424191,1550.1777505818193,1896.702733649014,4946.261488720321
13.926421404682275,416.50856159051375,635.1593060241287,838.4446542923378,1244.9307583377617,1635.529899733609,2011.5187547334797,5134.861930572709
14.919732441471572,445.2099318584254,678.0240187175245,888.427950262148,1314.6948616026941,1723.5087027592995,2114.1620678762324,5244.61335576979
15.91304347826087,472.8847254515332,717.2972318690511,941.6715726002369,1386.1689585628235,1801.8954993127593,2197.823490991136,5289.264021552231
16.906354515050168,499.8822596732405,755.0771387865883,992.8849476712347,1452.0477324994129,1869.6238577424315,2278.043973836747,5300.279107647433
17.899665551839465,524.2891571572083,789.7969706200067,1035.667132576398,1511.663625210819,1937.9341113924534,2342.887390441133,5256.808036205361
18.892976588628763,547.5077025238677,824.7873822890595,1073.3360933721383,1557.233514865968,1996.1960886176594,2392.1078120393945,5226.693279593883
19.88628762541806,570.6515839946202,854.3426602722808,1107.121883859444,1595.759430353924,2039.6289791512509,2428.843216049872,5094.534308286734
20.879598662207357,589.8490891115237,880.4989173841337,1137.432676718305,1625.3564412424885,2070.384823331842,2445.9558266458776,4956.525617620451
21.872909698996654,613.5520915147775,906.4309640827373,1160.1163242031255,1648.5218880348862,2090.5163681629565,2444.8766877500607,4823.805774961566
22.86622073578595,631.5264655408357,930.09482867725,1182.9523675457112,1660.3607395264248,2095.8838966445674,2445.992445876001,4646.5184878794935
23.859531772575252,648.7358503069732,949.4897849420915,1205.9762466924785,1663.637180020801,2085.990610392415,2414.5144120231334,4474.806986872688
24.85284280936455,667.5683703448286,967.2673958988191,1220.0511445741354,1661.695940158413,2066.5821086390974,2388.216497294068,4354.9665464554455
25.846153846153847,682.0989443208434,984.9962731780583,1230.8107919326965,1663.9383127348572,2047.7872504282705,2353.9229212902933,4130.220977911548
26.839464882943144,694.8439299459371,996.8188632186855,1234.662333534021,1657.4329092328067,2020.872201485387,2310.6564513454446,3899.919497812917
27.83277591973244,708.5189317635884,1003.2778210958503,1236.2416655310267,1645.6497539098484,1985.537654636401,2263.238216744296,3679.8981275689985
28.82608695652174,720.7970808564027,1008.6969271456178,1233.8268649642364,1633.86659858689,1949.2043650345697,2211.2304256800157,3483.5091084010783
29.819397993311036,728.5217668177984,1014.1160331953853,1228.9049315109378,1613.7154656016796,1909.3338007617283,2156.2069853355765,3297.1431575317865
30.812709030100336,733.7803175953985,1015.3538377863338,1223.9829980576392,1589.7448594704395,1865.6448717684689,2098.2745838529036,3123.891452736406
31.806020066889634,736.2957808171774,1011.9443008550572,1216.8487821763608,1558.8388715470142,1818.6477640577718,2035.5180856561096,2962.7954335589066
32.79933110367893,737.723953748578,1003.3944793420568,1207.8432047640372,1527.6145637036532,1770.6642005444562,1965.1334253224798,2804.6863369370985
33.79264214046823,737.6432937890409,994.8446578290562,1188.6359379158887,1496.1818248405575,1719.9256062031934,1896.1244719566819,2651.7752257046895
34.785953177257525,736.9432021622267,986.2948363160557,1168.0763588960833,1461.042883497519,1668.6817217897487,1827.8928617520319,2499.8018550231513
35.779264214046826,735.0148199555284,977.7245211544529,1147.0409005052325,1424.966123409584,1616.296994187029,1759.6700223272937,2387.9571954327384
36.77257525083612,733.0864377488301,966.3153560227481,1125.4181347639426,1380.6541443550875,1562.8450783900064,1691.4494603311016,2256.1524793790663
37.76588628762542,728.0468931526119,948.2486770680562,1103.7953690226525,1336.3421653005905,1507.7115574813927,1624.7819390702477,2092.896016430667
38.759197324414714,722.3080207303705,930.1819981133643,1080.692567417223,1292.0301862460938,1452.9776804741764,1558.3954160117676,1959.1465833417817
39.752508361204015,715.5176236153296,912.1153191586724,1057.069094710092,1251.675120187488,1398.9436895435574,1496.4923081243965,1843.7596631290037
40.74581939799331,707.9262081043139,894.6753485232027,1033.1101306876624,1213.9606561261642,1346.602699223505,1435.7660300456944,1750.830542476423
41.73913043478261,700.3347925932981,879.372162156922,1008.4588597979016,1178.0809030744315,1300.0340546046789,1384.9592298477637,1663.511752012555
42.7324414715719,692.0834406238017,863.1586359673763,983.8075889081409,1143.8780943769993,1253.4654099858533,1340.1341428547025,1586.4766390013413
