T_N2_Gas,K_N2_Gas,T_He_Gas,K_He_Gas,T_Pyrex,K_Pyrex,T_G10,K_G10,T_Manganin,K_Manganin,T_Constantan,K_Constantan,T_Al6061-T6,K_Al6061-T6,T_Al,K_Al,T_SS304L_RRR30,K_SS304L_RRR30
82.35979938038204,0.008192675563941633,6.17105480980009,0.011965482928759066,1.0396687573731804,0.01723859068743968,1.0396687573731804,0.007519864071904254,1.0396687573731804,0.07756493381238053,1.0396687573731804,0.10143012386660474,1.0396687573731804,2.2821269614448316,1.0396687573731804,29.76693204901923,1.0396687573731804,0.04430110381056194
90.9949606733911,0.008982875264859214,6.960180662168825,0.0131335505956423,1.104143570272778,0.018331585346729476,1.0997235132293446,0.00809490868042348,1.1355854163469232,0.08673766571668208,1.1355854163469232,0.11714738325559391,1.1355854163469232,2.492494944475762,1.1355854163469232,32.4302160889666,1.1355854163469232,0.04935586577565708
97.66790022461188,0.009778773902714508,7.654761691040661,0.014071976394898253,1.2353857362385263,0.02152346395057559,1.2353857362385263,0.009613205350160943,1.2403510528468649,0.09711568844228971,1.2403510528468649,0.13412900900108318,1.2403510528468649,2.759699015477163,1.2403510528468649,35.06949041183855,1.2403510528468649,0.05567453404860418
106.89261026774156,0.010672232395085258,8.229066191274564,0.014884099480339771,1.4445814179730891,0.02574629217336594,1.4330388032114867,0.011980352330792358,1.35478204646855,0.10833105667122597,1.35478204646855,0.15433707858840956,1.35478204646855,3.044185229267394,1.35478204646855,38.39747421386638,1.35478204646855,0.06210408637269221
120.07891478676814,0.011980352330792358,9.069742390940448,0.015705430232618472,1.5403329846249068,0.027580058200286386,1.5280252877205251,0.013045766867527467,1.4797700934915223,0.12204821635944971,1.4797700934915223,0.17670970386098822,1.4797700934915223,3.34551016144987,1.4797700934915223,41.88492891822202,1.4797700934915223,0.06996786704872554
132.6688045737049,0.013220048508626837,9.966273943607012,0.016773969977729154,1.7442862658071385,0.032648789919053255,1.7234220707305439,0.015581093751668162,1.616289155366173,0.135973934431837,1.616289155366173,0.20485384136515644,1.616289155366173,3.704160411351969,1.616289155366173,45.80275760383694,1.616289155366173,0.07843676194030369
141.62474212997205,0.01398982899212156,10.697131378836875,0.017681540104193715,2.039657293504763,0.039665378444117806,2.007192635494477,0.019712990958400584,1.7654030482467404,0.15338167659054094,1.7654030482467404,0.23367710258266788,1.7654030482467404,4.080935988081314,1.7654030482467404,50.02488630095093,1.7654030482467404,0.08847844333553402
155.84725480442052,0.015327749805463187,11.818691357415059,0.01875763865394682,2.1748524295185683,0.04305358217890813,2.131668213614119,0.021231428670679824,1.9282737327113972,0.1717335484353269,1.9282737327113972,0.2708943032398305,1.9282737327113972,4.501623179495488,1.9282737327113972,54.840154707815564,1.9282737327113972,0.09808537676822249
175.0726189821498,0.017046982978563257,13.026081394684505,0.02006807924862383,2.462821520302841,0.050492517142909685,2.4042560527893926,0.025706354642080775,2.106170368266561,0.19420109663826413,2.106170368266561,0.3101630051635182,2.106170368266561,4.941070589664164,2.106170368266561,59.7467708327508,2.106170368266561,0.10954869533462078
192.54373442041154,0.01842124315740424,14.015415007876419,0.02112293990102198,2.8798666680791216,0.06058052023194024,2.8113839394680324,0.03215584617664452,2.3004792031920624,0.21770715369890467,2.3004792031920624,0.3582247862122592,2.3004792031920624,5.396541767000861,2.3004792031920624,65.4165505535232,2.3004792031920624,0.12159434009746427
206.98947912581602,0.01972829811994857,15.400819492002553,0.022245907423254226,3.058460920607519,0.06464195800741018,2.9857312517255576,0.03471885200596157,2.5127143767931868,0.2474153668852565,2.5127143767931868,0.41270767991551593,2.5127143767931868,5.901323001777575,2.5127143767931868,71.26944982949502,2.5127143767931868,0.1336302063553327
228.1353934540808,0.02121166207843531,17.370204821315035,0.02407627587500138,3.463427344330135,0.07538070081442837,3.3540519560157125,0.04208439078545331,2.744529718235427,0.27978421229891337,2.744529718235427,0.4754769508336689,2.744529718235427,6.453320417950454,2.744529718235427,77.93584516933558,2.744529718235427,0.14869265198900633
259.38081510136044,0.02342736340953057,19.19141518672527,0.025369939845411752,4.0336989859732055,0.0898069154933895,3.9063143611285223,0.05122943220879389,2.9977316339036517,0.3163878074235658,2.9977316339036517,0.5532625305885522,2.9977316339036517,7.0481917915032515,2.9977316339036517,85.33171055759742,2.9977316339036517,0.16320799417164633
286.5760631661089,0.025320476448931824,20.48695046030363,0.026482918640280028,4.301065707227803,0.09560783207922417,4.148563525369177,0.05486799919033253,3.274293183709587,0.3627013912886906,3.274293183709587,0.6358277223148064,3.274293183709587,7.794096650544435,3.274293183709587,93.08197230026536,3.274293183709587,0.18183004848582437
302.0892390215912,0.026328320386047953,22.6349416278094,0.02801503058012829,4.9097942957758764,0.10320909761507982,4.735708524120586,0.06311489198443365,3.5763694560363866,0.4076138773016692,3.5763694560363866,0.7380104840698565,3.5763694560363866,8.48090492173311,3.5763694560363866,101.78866539036481,3.5763694560363866,0.19982827228047595
,,25.529392925988727,0.030332630350597408,5.7874441413078594,0.11202518518869051,5.559893116322228,0.07172751970221793,3.9063143611285223,0.4690255708541469,3.9063143611285223,0.8449921125828709,3.9063143611285223,9.216780461348788,3.9063143611285223,110.89582253827898,3.9063143611285223,0.22015417725601777
,,28.05293828064332,0.03237121473926351,6.17105480980009,0.11356607566852611,5.928420960915081,0.07456135848927699,4.266698973788488,0.5284148065078912,4.266698973788488,0.9722998407095922,4.266698973788488,10.11652043120715,4.266698973788488,120.51808855877874,4.266698973788488,0.24557859842492058
